MaxPos,target
7.5,7.5
8.0625,7.5
7.5,7.5
6.75,8.2
8.25,8.2
8.1875,8.2
7,7
6.625,7
7,7
6,8.2
9.1875,8.2
6.1875,8.2
17.5,6
7.9375,6
6,6
15,7.5
7.4375,7.5
13.4375,7.5
17.75,6
6,6
6,6
10.5,6
5.9375,6
9.625,6
15.125,8.2
16.4375,8.2
12.25,8.2
12.75,8.2
14.125,8.2
16.375,8.2
8.125,9.3
12,9.3
18.75,9.3
6.9375,6
6,6
5.9375,6
5.9375,6
11.9375,6
5.8125,6
16.3125,8.2
16.3125,8.2
16.4375,8.2
5.9375,6
6,6
13.375,6
6.4375,6.5
13.0625,6.5
6,6.5
10.5625,7.5
15,7.5
6.9375,7.5
13,7
14.75,7
6.6875,7
14.0625,6
12,6
9.9375,6
5.75,6
6.3125,6
6,6
7.5,7.5
7.5,7.5
7.5,7.5
8.1875,8.2
8.1875,8.2
7.6875,8.2
13.9375,7
7,7
7,7
8.1875,8.2
8.1875,8.2
8.1875,8.2
12,6
12,6
12,6
7.5,7.5
7.5,7.5
7.5,7.5
6,6
12,6
11.9375,6
12.3125,6
12,6
12,6
8.1875,8.2
8.1875,8.2
8.1875,8.2
8.1875,8.2
8.1875,8.2
8.1875,8.2
9.375,9.3
9.375,9.3
9.3125,9.3
12,6
12,6
11.9375,6
12,6
12,6
11.9375,6
8.1875,8.2
8.1875,8.2
8.1875,8.2
5.9375,6
12,6
12,6
13,6.5
12.9375,6.5
12.9375,6.5
7.5625,7.5
7.5,7.5
7.5,7.5
7,7
6.9375,7
7,7
11.9375,6
12,6
11.9375,6
11.9375,6
11.9375,6
11.9375,6
7.3125,7.5
7.375,7.5
6.625,7.5
13.3125,8.2
8.1875,8.2
8.1875,8.2
8.1875,7
8.1875,7
5,7
8.125,8.2
8.1875,8.2
8.1875,8.2
7,6
6.9375,6
8.625,6
7,7.5
6.9375,7.5
5.4375,7.5
6.375,6
5.9375,6
5.625,6
8.1875,6
6,6
5.9375,6
16.375,8.2
7.0625,8.2
6.9375,8.2
8.125,8.2
16.375,8.2
8.1875,8.2
6.5625,9.3
9.375,9.3
6.875,9.3
6,6
12.1875,6
6.75,6
5.9375,6
6,6
12,6
12.5,8.2
7.0625,8.2
8.1875,8.2
7.1875,6
6.9375,6
10.4375,6
6.4375,6.5
13.625,6.5
6.9375,6.5
12.4375,7.5
6.8125,7.5
7,7.5
9,7
6.9375,7
14.0625,7
5.875,6
6.875,6
6.9375,6
7.0625,6
12.25,6
7,6
15,7.5
7.5,7.5
7.5,7.5
5.125,8.2
16.4375,8.2
8.1875,8.2
6.625,7
7,7
7,7
16.375,8.2
8.1875,8.2
8.1875,8.2
5.9375,6
6,6
6,6
7.5,7.5
7.5,7.5
7.5,7.5
6.1875,6
12,6
6,6
11.9375,6
6,6
6.375,6
16.4375,8.2
16.375,8.2
16.4375,8.2
8.1875,8.2
16.375,8.2
8.25,8.2
9.3125,9.3
9.375,9.3
9.3125,9.3
5.8125,6
5.9375,6
6.0625,6
6,6
6.8125,6
5.9375,6
8.1875,8.2
8.25,8.2
16.375,8.2
6.75,6
5.6875,6
5.0625,6
6.375,6.5
19.5,6.5
6.5,6.5
7.4375,7.5
7.5,7.5
7.5625,7.5
6.875,7
6.6875,7
5.625,7
5.9375,6
6,6
6,6
6,6
12,6
9,6
7.4375,7.5
15.0625,7.5
15.625,7.5
7,8.2
8.25,8.2
8.1875,8.2
14,7
7.1875,7
5.5625,7
16.4375,8.2
16.375,8.2
16.375,8.2
6,6
12,6
12,6
15.0625,7.5
15.0625,7.5
15.0625,7.5
12,6
12,6
6.375,6
5.9375,6
12,6
12,6
8.25,8.2
16.375,8.2
8.1875,8.2
8.1875,8.2
8.1875,8.2
8.125,8.2
9.3125,9.3
9.3125,9.3
7.0625,9.3
12,6
5.875,6
12,6
11.9375,6
11.9375,6
12,6
16.375,8.2
8.1875,8.2
9.9375,8.2
12,6
12,6
5.9375,6
13,6.5
13,6.5
5.9375,6.5
7.5625,7.5
15.0625,7.5
15.0625,7.5
6.6875,7
14,7
5.9375,7
11.9375,6
12,6
5.375,6
5.8125,6
11.9375,6
7.1875,6
