Principal,First H,target
7.5,15.5,7.5
8.0625,14.375,7.5
7.5,14,7.5
6.75,12.5,8.2
8.25,16.8125,8.2
8.1875,12.3125,8.2
7,14.25,7
6.625,13.5625,7
7,17.1875,7
6.0625,13.1875,8.2
9.1875,13.375,8.2
6.1875,16.375,8.2
6.0625,17.5,6
7.9375,14,6
6.0625,16.375,6
7.5,15,7.5
7.4375,13.75,7.5
6.75,13.4375,7.5
8.5,17.75,6
6.0625,16.875,6
6.3125,12.0625,6
6.6875,13.25,6
6.0625,13.25,6
7.5625,12.125,6
8.125,15.125,8.2
8.1875,16.4375,8.2
8.4375,12.25,8.2
8.125,12.75,8.2
8.0625,14.125,8.2
7.4375,16.375,8.2
8.125,15.8125,9.3
8.5,12.0625,9.3
8.0625,18,9.3
6.9375,13.375,6
6.0625,12.1875,6
6.0625,16.5,6
9.125,17.9375,6
6.75,18,6
8.125,15.75,6
6.375,16.3125,8.2
8.375,16.3125,8.2
8.25,16.4375,8.2
6.0625,14.4375,6
6.0625,13.875,6
7.3125,13.375,6
6.4375,14.75,6.5
8.9375,13.0625,6.5
6.0625,12.875,6.5
7.5,12.6875,7.5
7.5625,15,7.5
6.9375,13.125,7.5
6.375,13,7
6.75,14.75,7
6.6875,12.375,7
6.4375,14.0625,6
6.5625,12.0625,6
6.0625,14.25,6
6.0625,18.375,6
6.3125,14.25,6
6.0625,13.4375,6
7.5,12.5,7.5
7.5,18.3125,7.5
7.5,17.75,7.5
8.1875,16.375,8.2
8.1875,16.4375,8.2
7.6875,16.375,8.2
6.9375,13.9375,7
7,14,7
7,13.9375,7
8.1875,16.4375,8.2
8.1875,16.4375,8.2
8.1875,16.375,8.2
6.125,12.0625,6
6.0625,12.0625,6
6.0625,12.0625,6
7.5,15.3125,7.5
7.5,15.0625,7.5
7.5,15.0625,7.5
6.0625,17.625,6
6.25,12.0625,6
6.0625,12.0625,6
6.0625,12.3125,6
6.0625,12.0625,6
6.0625,12.0625,6
8.1875,16.375,8.2
8.1875,16.375,8.2
8.1875,16.125,8.2
8.1875,16.4375,8.2
8.1875,16.375,8.2
8.1875,16.4375,8.2
9.25,18.5625,9.3
9.25,17.1875,9.3
9.25,17.25,9.3
8.3125,12.0625,6
6.0625,12.0625,6
7.4375,12.0625,6
6.0625,12.0625,6
7.5,12.0625,6
6.0625,12.0625,6
8.1875,16.375,8.2
8.1875,17.4375,8.2
8.1875,16.625,8.2
7.5,17.0625,6
8.1875,12.0625,6
8.3125,12.0625,6
6.5,13,6.5
7.6875,12.9375,6.5
6.5625,12.9375,6.5
7.5625,15,7.5
7.5,15,7.5
7.5,15,7.5
7,12.9375,7
6.9375,13.9375,7
7,17.4375,7
8.8125,12.0625,6
6.3125,12.0625,6
8.6875,12.0625,6
7.8125,12.0625,6
8.4375,12.0625,6
6.6875,17.9375,6
7.3125,13.1875,7.5
7.375,12.9375,7.5
6.625,17.6875,7.5
7.375,13.3125,8.2
8.1875,16.375,8.2
8.1875,16.375,8.2
8.1875,13.25,7
8.1875,15.0625,7
9.0625,13.9375,7
8.125,16.375,8.2
8.1875,12.25,8.2
8.1875,14.9375,8.2
7,13.875,6
6.9375,15.875,6
8.625,15.5,6
7,14,7.5
6.9375,15.625,7.5
8.8125,15.9375,7.5
6.375,12.625,6
7.75,14.375,6
7.1875,12.3125,6
8.1875,15.1875,6
9.1875,12.3125,6
8.375,14.9375,6
8.1875,16.375,8.2
7.0625,16.4375,8.2
6.9375,16.375,8.2
8.125,16.375,8.2
8.8125,16.375,8.2
8.1875,16.375,8.2
6.5625,14.625,9.3
6.375,14.1875,9.3
6.875,16.5,9.3
6.0625,12.0625,6
6.9375,12.1875,6
6.75,13.8125,6
6.875,12.0625,6
8.8125,12.1875,6
7.1875,12.0625,6
7.1875,12.5,8.2
7.0625,16,8.2
8.1875,12.625,8.2
7.1875,14.3125,6
6.9375,15.9375,6
6.9375,13.9375,6
6.4375,12.9375,6.5
7,13.625,6.5
6.9375,15.75,6.5
8.625,12.4375,7.5
6.8125,17.25,7.5
7,14.0625,7.5
9,14.375,7
6.9375,12.125,7
8,14.0625,7
7,14.6875,6
6.875,12.0625,6
6.9375,12.25,6
7.0625,12.375,6
6.0625,12.25,6
7,15.8125,6
7.5625,15,7.5
7.5,15,7.5
7.5,15,7.5
8.125,16.3125,8.2
7.875,16.4375,8.2
8.1875,16.375,8.2
6.625,14,7
7,12.875,7
7,14,7
8.1875,16.375,8.2
8.1875,16.375,8.2
8.1875,16.375,8.2
6.0625,17.9375,6
6.0625,12.0625,6
7,18,6
7.5,15.0625,7.5
7.5,15.0625,7.5
7.5,15.0625,7.5
6.1875,17.875,6
8.0625,12.0625,6
6.0625,12.0625,6
9.1875,17.9375,6
6.0625,17.9375,6
6.375,18,6
8.125,16.4375,8.2
8.1875,16.375,8.2
7.9375,16.4375,8.2
8.1875,16.375,8.2
8.1875,16.375,8.2
8.25,16.4375,8.2
9.25,13.8125,9.3
6.0625,17.75,9.3
9.25,18.375,9.3
8.6875,13.4375,6
6.0625,17.9375,6
6.0625,18,6
6.0625,12.0625,6
6.8125,17.9375,6
6.5,17.9375,6
8.1875,16.375,8.2
8.25,16.375,8.2
8.1875,16.375,8.2
6.75,18,6
9,12.3125,6
8.6875,12.1875,6
6.375,12.9375,6.5
7,12.9375,6.5
6.5,12.9375,6.5
7.4375,14.9375,7.5
7.5,15.0625,7.5
7.5625,15,7.5
6.875,13.4375,7
6.6875,14,7
7.875,14,7
8.0625,17.9375,6
6.0625,17.5,6
6.0625,12.0625,6
7.375,17.9375,6
8.625,12.0625,6
9,13.1875,6
7.4375,15,7.5
7,15.0625,7.5
8.3125,15.625,7.5
7,16.4375,8.2
8.25,16.375,8.2
8.1875,16.375,8.2
6.4375,14,7
7.1875,14,7
6.4375,14.0625,7
6.25,16.4375,8.2
8.1875,16.375,8.2
8.1875,16.375,8.2
6.0625,12.5,6
6.0625,12.0625,6
6.5625,12.0625,6
7.5625,15.0625,7.5
6.6875,15.0625,7.5
9.125,15.0625,7.5
6.1875,12.0625,6
7.4375,12.0625,6
6.375,12.0625,6
6.0625,12.6875,6
6.0625,12.0625,6
7,12.0625,6
8.25,16.375,8.2
8.25,16.375,8.2
8.1875,16.4375,8.2
8.1875,16.375,8.2
8.1875,16.375,8.2
8.125,16.4375,8.2
9.25,12.125,9.3
9.25,13.8125,9.3
7.0625,17.25,9.3
6.0625,12.0625,6
6.6875,12.0625,6
6.0625,12.0625,6
6.875,12.0625,6
7.5,12.0625,6
7.25,12.0625,6
6.875,16.375,8.2
8.1875,16.4375,8.2
8.1875,16.375,8.2
7.4375,12.0625,6
6.625,12.0625,6
6.0625,12.0625,6
6.375,13,6.5
6.5625,13,6.5
6.5625,13,6.5
7.5625,15.0625,7.5
7.3125,15.0625,7.5
7.125,15.0625,7.5
6.6875,14,7
8.1875,14,7
6.6875,13.9375,7
6.125,12.25,6
7,12.0625,6
8,12.0625,6
6.3125,12.0625,6
7.75,12.0625,6
7.1875,12.0625,6
